district,school.year,total.revenue,total.revenue.per.pupil,local.revenue.per.pupil,local.percent.total.revenue,state.revenue.per.pupil,state.percent.total.revenue,federal.revenue.per.pupil,federal.percent.total.revenue,other.revenue.per.pupil,other.percent.total.revenue
Othello School District,2012-13,34857582,8901.76,745.23,8.4,7021.13,78.9,1135.40,12.8,0.00,-
Palisades School District,2012-13,586817,31313.58,5161.23,16.5,21322.72,68.1,4013.19,12.8,816.44,2.6
Palouse School District,2012-13,2517918,13589.07,2290.41,16.9,10471.01,77.1,654.58,4.8,173.07,1.3
Pasco School District,2012-13,149139809,9536.77,1357.47,14.2,7181.70,75.3,967.67,10.1,29.93,0.3
Pateros School District,2012-13,3582622,12645.14,2142.30,16.9,9194.20,72.7,1197.82,9.5,110.83,0.9
Paterson School District,2012-13,1375834,13196.18,1850.98,14,8936.95,67.7,2408.25,18.2,0.00,-
Pe Ell School District,2012-13,3529669,12076.74,1738.25,14.4,8891.51,73.6,1384.70,11.5,62.28,0.5
Peninsula School District,2012-13,82002988,9255.21,2529.20,27.3,6206.90,67.1,505.25,5.5,13.86,0.1
Pioneer School District,2012-13,8222544,11996.36,4306.22,35.9,6344.49,52.9,1345.65,11.2,0.00,-
Pomeroy School District,2012-13,4036423,12749.68,2936.24,23,8758.74,68.7,1054.71,8.3,0.00,-
Port Angeles School District,2012-13,36958884,9981.68,2443.49,24.5,6473.12,64.8,1062.44,10.6,2.64,0
Port Townsend School District,2012-13,12912817,10307.58,2827.97,27.4,6174.32,59.9,1099.14,10.7,206.15,2
Prescott School District,2012-13,3976396,11423.80,1838.18,16.1,8478.99,74.2,1106.62,9.7,0.00,-
Prosser School District,2012-13,27604153,9744.41,1363.96,14,7278.45,74.7,1093.52,11.2,8.48,0.1
Pullman School District,2012-13,21294046,8767.49,2175.48,24.8,5988.53,68.3,581.93,6.6,21.55,0.2
Puyallup School District,2012-13,194616152,9305.18,2332.85,25.1,6422.61,69,494.66,5.3,55.07,0.6
Queets-Clearwater School District,2012-13,879900,39281.23,4760.85,12.1,19840.10,50.5,14680.29,37.4,0.00,-
Quilcene School District,2012-13,4261391,7827.25,1004.35,12.8,6226.07,79.5,559.23,7.1,37.61,0.5
Quillayute Valley School District,2012-13,21822850,7002.07,257.91,3.7,6136.86,87.6,541.81,7.7,65.49,0.9
Quincy School District,2012-13,28343849,10466.98,2534.92,24.2,6608.45,63.1,1321.71,12.6,1.89,0
Rainier School District,2012-13,7777279,9878.29,2268.28,23,6854.75,69.4,736.47,7.5,18.79,0.2
Raymond School District,2012-13,7257458,10472.67,1383.16,13.2,7896.58,75.4,1036.14,9.9,156.80,1.5
